Log for:/srv/http/tid4k/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
2023-03-03T14:28:00Z | welcome.php | SyncInstruction(CSYNC_INSTRUCTION_SYNC) | OCC::SyncFileItem::Up | | 1677853477 | d78d589dfa1baabebe7a2bb1cac3c93b | 799 | 00194479oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 204 | 801 | 1677829368 | ddcf381d-35ba-420c-9e84-0b3e0a5c89d6 | 
#=#=#=# Syncrun finished 2023-03-03T14:28:00Z (last step: 352 msec , total: 747 msec) 
#=#=#=# Syncrun started 2023-03-03T14:34:16Z
#=#=#=#=# Propagation starts 2023-03-03T14:34:16Z (last step: 506 msec , total: 506 msec) 
2023-03-03T14:34:17Z | index.php | SyncInstruction(CSYNC_INSTRUCTION_SYNC) | OCC::SyncFileItem::Up | | 1677854022 | 264b687e3114f8b6533d403ba6fced9b | 1834 | 00194466oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 204 | 3468 | 1677853320 | 88a61f60-2a06-4660-bf9e-0ffa2c7867a2 | 
2023-03-03T14:34:17Z | index.copie.php | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1677853930 | 3112d6b1c8c11d8cbc0f981d53ab3de6 | 3468 | 00194683oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 06e13c2d-3dbc-4cf7-aea9-ba56d0f1e269 | 
2023-03-03T14:34:17Z | index.tid4k_1.4.php | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1677853916 | c54ad9d11d45a5ae3d1405ed10647751 | 1827 | 00194685oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | e719ba08-57bf-4f73-8a93-c6019dbe9564 | 
#=#=#=# Syncrun finished 2023-03-03T14:34:17Z (last step: 925 msec , total: 1431 msec) 
#=#=#=# Syncrun started 2023-03-03T14:40:40Z
#=#=#=#=# Propagation starts 2023-03-03T14:40:40Z (last step: 499 msec , total: 499 msec) 
#=#=#=# Syncrun finished 2023-03-03T14:40:40Z (last step: 4 msec , total: 503 msec) 
#=#=#=# Syncrun started 2023-03-03T16:40:46Z
#=#=#=#=# Propagation starts 2023-03-03T16:40:46Z (last step: 419 msec , total: 419 msec) 
#=#=#=# Syncrun finished 2023-03-03T16:40:46Z (last step: 5 msec , total: 424 msec) 
#=#=#=# Syncrun started 2023-03-03T17:08:58Z
#=#=#=#=# Propagation starts 2023-03-03T17:08:59Z (last step: 388 msec , total: 388 msec) 
2023-03-03T17:09:01Z | pages/pre_autorizare.php | SyncInstruction(CSYNC_INSTRUCTION_SYNC) | OCC::SyncFileItem::Up | | 1677862815 | c35cb63064429e11a1491a5a478693d4 | 1388 | 00194476oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 204 | 1384 | 1677785247 | 52701c31-ca3f-476c-a005-a8b78050c6af | 
#=#=#=# Syncrun finished 2023-03-03T17:09:01Z (last step: 2215 msec , total: 2604 msec) 
#=#=#=# Syncrun started 2023-03-03T17:09:11Z
#=#=#=#=# Propagation starts 2023-03-03T17:09:12Z (last step: 799 msec , total: 799 msec) 
#=#=#=# Syncrun finished 2023-03-03T17:09:12Z (last step: 2 msec , total: 802 msec) 
#=#=#=# Syncrun started 2023-03-03T17:23:37Z
#=#=#=#=# Propagation starts 2023-03-03T17:23:37Z (last step: 463 msec , total: 463 msec) 
2023-03-03T17:23:38Z | index.copie.php | SyncInstruction(CSYNC_INSTRUCTION_SYNC) | OCC::SyncFileItem::Up | | 1677864190 | b37cbb5ac027dd1a09d518679fc4491c | 1834 | 00194683oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 204 | 3468 | 1677853930 | c5eab9c2-8ef0-4877-8cb4-07af6c21953e | 
2023-03-03T17:23:38Z | index.php | SyncInstruction(CSYNC_INSTRUCTION_SYNC) | OCC::SyncFileItem::Up | | 1677864205 | 2cba42fd4545c43ce9b76bee68d6c2c6 | 1834 | 00194466oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 204 | 1834 | 1677854022 | 839d83b4-a2b2-4aed-a375-69313f091272 | 
#=#=#=# Syncrun finished 2023-03-03T17:23:38Z (last step: 609 msec , total: 1072 msec) 
#=#=#=# Syncrun started 2023-03-03T17:23:41Z
#=#=#=#=# Propagation starts 2023-03-03T17:23:42Z (last step: 474 msec , total: 474 msec) 
#=#=#=# Syncrun finished 2023-03-03T17:23:42Z (last step: 4 msec , total: 478 msec) 
#=#=#=# Syncrun started 2023-03-03T17:30:03Z
#=#=#=#=# Propagation starts 2023-03-03T17:30:04Z (last step: 523 msec , total: 523 msec) 
2023-03-03T17:30:04Z | index.php | SyncInstruction(CSYNC_INSTRUCTION_SYNC) | OCC::SyncFileItem::Up | | 1677864509 | af64e89532dc0133fc030a0f0570002d | 1661 | 00194466oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 204 | 1834 | 1677864205 | d808c876-5e1e-41fd-9d50-23174d06986f | 
#=#=#=# Syncrun finished 2023-03-03T17:30:04Z (last step: 470 msec , total: 993 msec) 
#=#=#=# Syncrun started 2023-03-03T17:36:46Z
#=#=#=#=# Propagation starts 2023-03-03T17:36:46Z (last step: 494 msec , total: 494 msec) 
#=#=#=# Syncrun finished 2023-03-03T17:36:46Z (last step: 3 msec , total: 498 msec) 
#=#=#=# Syncrun started 2023-03-03T19:36:51Z
#=#=#=#=# Propagation starts 2023-03-03T19:36:51Z (last step: 450 msec , total: 450 msec) 
#=#=#=# Syncrun finished 2023-03-03T19:36:51Z (last step: 3 msec , total: 454 msec) 
#=#=#=# Syncrun started 2023-03-03T21:36:56Z
